r_xy_mm,phi_deg,z_mm,order_idx,gen_settings
236,104.2,-136,461,
243,98.5,-93,462,
234,101.3,-48,463,
202,101.4,-5,464,
247,98.4,40,465,
232,104.4,83,466,
228,103.1,95,467,
227,99.6,138,468,
249,100.2,183,469,
240,102.5,226,470,
208,104.9,237,471,
233,107.3,172,472,
239,107.8,149,473,
231,112.0,117,474,
244,110.8,61,475,
230,109.1,29,476,
237,106.0,6,477,
248,106.2,-59,478,
245,108.9,-82,479,
236,110.9,-114,480,
230,111.9,-170,481,
214,108.0,-202,482,
241,107.1,-225,483,
217,119.5,-204,484,
248,115.6,-168,485,
224,116.6,-116,486,
245,118.6,-80,487,
218,113.7,-27,488,
226,113.8,-26,489,
227,118.4,27,490,
214,116.8,63,491,
240,115.5,116,492,
247,119.7,151,493,
239,112.6,204,494,
249,114.9,205,495,
241,122.6,239,496,
219,125.0,225,497,
247,127.3,184,498,
232,120.2,170,499,
212,124.4,96,500,
235,123.2,82,501,
233,121.5,8,502,
244,126.1,-6,503,
243,126.2,-47,504,
235,121.3,-61,505,
246,123.3,-135,506,
224,124.3,-149,507,
219,120.4,-223,508,
229,127.2,-237,509,
238,132.8,-244,510,
241,128.0,-189,511,
240,131.9,-183,512,
202,131.0,-101,513,
220,129.0,-95,514,
228,133.7,-40,515,
229,133.9,-13,516,
245,129.2,42,517,
236,130.8,48,518,
239,132.1,130,519,
225,127.9,136,520,
233,132.6,191,521,
239,137.4,245,522,
240,135.0,218,523,
230,139.7,164,524,
239,140.3,157,525,
238,135.6,103,526,
241,136.8,75,527,
238,141.6,21,528,
224,138.5,14,529,
226,138.6,-67,530,
226,141.4,-74,531,
240,136.7,-128,532,
245,135.7,-156,533,
236,140.4,-210,534,
250,139.6,-217,535,
242,148.1,-176,536,
231,144.3,-162,537,
240,143.4,-122,538,
249,149.1,-107,539,
243,146.3,-34,540,
247,146.1,-19,541,
236,149.2,55,542,
231,143.2,69,543,
249,144.5,109,544,
232,148.0,124,545,
237,147.4,197,546,
233,145.0,212,547,
241,157.4,233,548,
231,155.1,231,549,
247,152.7,178,550,
237,152.1,143,551,
241,155.6,90,552,
235,156.9,88,553,
209,150.9,35,554,
226,154.0,0,555,
233,153.8,-53,556,
224,151.0,-88,557,
230,156.7,-141,558,
249,155.8,-143,559,
247,152.0,-196,560,
244,152.8,-231,561,
250,159.7,-229,562,
215,160.5,-197,563,
227,164.4,-175,564,
250,163.4,-109,565,
204,161.5,-87,566,
242,158.7,-55,567,
229,158.5,2,568,
249,161.6,34,569,
233,163.3,56,570,
208,164.5,122,571,
223,160.3,144,572,
209,159.8,176,573,
247,167.5,210,574,
231,165.1,199,575,
230,172.2,156,576,
247,168.0,111,577,
231,169.3,67,578,
248,170.9,22,579,
235,166.4,-21,580,
233,166.2,-32,581,
233,171.1,-75,582,
248,169.1,-120,583,
239,168.2,-164,584,
240,172.1,-209,585,
250,179.7,-242,586,
217,172.9,-218,587,
221,176.8,-154,588,
229,175.8,-130,589,
240,173.9,-66,590,
234,178.8,-42,591,
236,178.6,-11,592,
240,174.0,13,593,
248,175.7,77,594,
224,176.9,101,595,
231,172.7,165,596,
227,179.9,189,597,
229,177.5,220,598,
217,175.1,244,599,
181,172.9,274,600,
152,179.7,270,601,
105,177.6,265,602,
40,175.0,276,603,
122,167.3,287,604,
139,165.2,283,605,
191,172.1,263,606,
237,169.8,253,607,
239,170.4,298,608,
250,162.2,287,609,
223,162.7,265,610,
168,159.7,257,611,
78,157.6,295,612,
82,154.9,296,613,
166,152.8,280,614,
247,150.3,286,615,
245,149.8,266,616,
234,142.7,252,617,
141,147.3,282,618,
120,145.2,277,619,
31,137.5,275,620,
183,139.6,260,621,
189,140.4,256,622,
241,142.1,300,623,
243,130.3,273,624,
237,129.7,279,625,
150,132.8,285,626,
108,134.9,271,627,
59,122.5,261,628,
96,125.1,293,629,
158,127.2,276,630,
175,120.4,267,631,
249,117.3,258,632,
212,117.9,294,633,
196,119.5,293,634,
132,112.7,282,635,
130,114.8,289,636,
64,105.0,299,637,
174,107.1,298,638,
198,108.0,283,639,
229,110.2,260,640,
237,109.6,292,641,
235,97.8,281,642,
160,100.3,272,643,
93,102.4,293,644,
18,90.0,258,645,
111,92.6,290,646,
148,94.7,299,647,
236,97.2,271,648,
241,84.8,250,649,
188,87.1,261,650,
184,87.9,252,651,
117,82.3,271,652,
144,80.2,291,653,
231,77.2,284,654,
240,77.7,268,655,
170,67.8,272,656,
164,74.7,256,657,
85,72.6,269,658,
73,69.9,259,659,
125,60.2,267,660,
137,62.3,292,661,
231,64.8,263,662,
246,65.3,289,663,
237,57.7,255,664,
233,57.1,297,665,
193,55.5,266,666,
179,54.6,275,667,
47,52.5,295,668,
102,49.9,272,669,
154,47.8,266,670,
231,45.3,276,671,
235,44.7,276,672,
154,42.2,283,673,
102,40.1,265,674,
47,37.5,288,675,
179,35.4,286,676,
193,34.5,274,677,
243,32.3,255,678,
247,32.9,297,679,
238,25.2,263,680,
232,24.7,289,681,
137,27.7,277,682,
125,29.8,296,683,
73,20.1,288,684,
85,17.4,288,685,
164,15.3,290,686,
170,22.2,291,687,
240,12.3,268,688,
223,12.8,284,689,
144,9.8,276,690,
117,7.7,271,691,
18,0.0,297,692,
184,2.1,294,693,
188,2.9,263,694,
246,5.2,250,695,
217,-7.2,271,696,
148,-4.7,282,697,
111,-2.6,275,698,
64,-15.0,267,699,
93,-12.4,286,700,
160,-10.3,299,701,
239,-7.8,281,702,
233,-20.2,260,703,
224,-19.6,292,704,
198,-18.0,268,705,
174,-17.1,271,706,
130,-24.8,289,707,
132,-22.7,291,708,
196,-29.5,253,709,
224,-27.3,258,710,
250,-27.9,294,711,
175,-30.4,293,712,
158,-37.2,288,713,
96,-35.1,287,714,
59,-32.5,256,715,
108,-44.9,264,716,
150,-42.8,297,717,
237,-40.3,273,718,
246,-39.7,279,719,
228,-52.1,300,720,
189,-50.4,279,721,
183,-49.6,261,722,
31,-47.5,297,723,
120,-55.2,267,724,
141,-57.3,253,725,
240,-59.8,266,726,
241,-52.7,252,727,
229,-60.3,286,728,
166,-62.8,265,729,
82,-64.9,263,730,
78,-67.6,284,731,
168,-69.7,285,732,
235,-72.2,287,733,
242,-72.7,265,734,
236,-79.8,253,735,
226,-80.4,298,736,
191,-82.1,258,737,
139,-75.2,280,738,
122,-77.3,263,739,
40,-85.0,274,740,
105,-87.6,280,741,
152,-89.7,292,742,
181,-82.9,260,743,
231,-92.8,278,744,
222,-92.2,274,745,
156,-95.3,292,746,
99,-97.4,280,747,
53,-100.0,276,748,
177,-102.1,298,749,
194,-103.0,272,750,
231,-104.6,295,751,
244,-105.2,257,752,
228,-112.3,261,753,
135,-109.8,284,754,
127,-107.7,299,755,
69,-117.4,299,756,
172,-115.4,274,757,
199,-114.5,285,758,
213,-112.9,290,759,
247,-125.3,270,760,
216,-124.7,282,761,
162,-122.2,295,762,
89,-120.1,280,763,
114,-129.8,293,764,
146,-127.8,277,765,
186,-134.6,264,766,
228,-132.3,249,767,
246,-137.7,249,768,
186,-135.4,277,769,
146,-142.2,295,770,
114,-140.2,297,771,
89,-149.9,299,772,
162,-147.8,281,773,
233,-145.3,282,774,
237,-144.7,270,775,
216,-157.1,290,776,
199,-155.5,263,777,
172,-154.6,274,778,
69,-152.6,279,779,
127,-162.3,295,780,
135,-160.2,266,781,
216,-157.7,261,782,
222,-164.8,257,783,
53,-170.0,280,784,
177,-167.9,285,785,
194,-167.0,289,786,
248,-165.4,295,787,
231,-170.0,-294,788,num_points=1000
196,-167.0,-282,789,
179,-167.9,-265,790,
54,-170.0,-299,791,
128,-162.3,-285,792,
136,-160.2,-284,793,
227,-160.2,-255,794,
241,-162.3,-260,795,
245,-152.6,-289,796,
173,-154.6,-258,797,
70,-152.6,-269,798,
90,-149.9,-288,799,
164,-147.8,-292,800,
245,-149.9,-281,801,flip_poles=False
248,-140.2,-268,802,
188,-135.4,-284,803,
147,-142.2,-264,804,
115,-140.2,-265,805,
115,-129.8,-283,806,
147,-127.8,-279,807,
188,-134.6,-279,808,
244,-129.8,-268,809,
240,-120.1,-281,810,
164,-122.2,-278,811,
90,-120.1,-281,812,
70,-117.4,-251,813,
173,-115.4,-297,814,
220,-117.4,-289,815,wall_thickness_mm=50.0
246,-109.8,-255,816,
244,-107.7,-260,817,
136,-109.8,-296,818,
128,-107.7,-275,819,
54,-100.0,-300,820,
179,-102.1,-287,821,
196,-103.0,-282,822,
244,-100.0,-294,823,
233,-97.4,-276,824,phi_min_deg=-170.0
158,-95.3,-251,825,
100,-97.4,-269,826,
40,-85.0,-291,827,
106,-87.6,-284,828,
153,-89.7,-280,829,
182,-82.9,-268,830,
212,-85.0,-297,831,cyl_height_internal=0.500
236,-87.6,-273,832,
238,-77.3,-263,833,
214,-75.2,-252,834,
193,-82.1,-276,835,
140,-75.2,-259,836,
123,-77.3,-298,837,
78,-67.6,-293,838,
169,-69.7,-253,839,
249,-67.6,-286,840,
208,-64.9,-284,841,generate_reverse_spiral=True
168,-62.8,-288,842,
82,-64.9,-276,843,
120,-55.2,-290,844,
143,-57.3,-270,845,
243,-57.3,-250,846,
247,-55.2,-265,847,
231,-47.5,-298,848,
191,-50.4,-295,849,
184,-49.6,-291,850,
31,-47.5,-292,851,
109,-44.9,-290,852,
151,-42.8,-293,853,
240,-44.9,-271,854,azimuth_weight_center_deg=0.0
234,-32.5,-292,855,cap_fraction=None
215,-35.1,-278,856,
177,-30.4,-277,857,
160,-37.2,-286,858,
97,-35.1,-286,859,
60,-32.5,-261,860,
131,-24.8,-297,861,
133,-22.7,-259,862,
198,-29.5,-287,863,
232,-22.7,-257,864,
236,-24.8,-258,865,
199,-18.0,-275,866,
175,-17.1,-266,867,
65,-15.0,-274,868,
93,-12.4,-281,869,
162,-10.3,-297,870,
203,-12.4,-279,871,bottom_cutoff_mm=30.0
223,-15.0,-290,872,
244,-2.6,-270,873,
149,-4.7,-261,874,
112,-2.6,-297,875,
186,2.1,-285,876,
189,2.9,-284,877,
200,0.0,-300,878,cyl_radius_internal=0.200
237,7.7,-266,879,
215,9.8,-249,880,
145,9.8,-281,881,
118,7.7,-294,882,
74,20.1,-293,883,
86,17.4,-262,884,
166,15.3,-287,885,
171,22.2,-296,886,
241,20.1,-287,887,P_side=0.5
248,17.4,-282,888,
238,27.7,-253,889,
236,29.8,-261,890,
138,27.7,-252,891,
126,29.8,-288,892,
181,35.4,-280,893,
194,34.5,-272,894,
248,40.1,-274,895,phi_max_deg=180.0
236,37.5,-295,896,
156,42.2,-282,897,
103,40.1,-270,898,
48,37.5,-282,899,
103,49.9,-290,900,
156,47.8,-295,901,
239,49.9,-274,902,
237,52.5,-295,903,cyl_height_external=0.600
194,55.5,-299,904,
181,54.6,-293,905,
48,52.5,-257,906,
126,60.2,-277,907,
138,62.3,-270,908,
246,60.2,-261,909,
249,62.3,-253,910,
246,69.9,-287,911,
221,72.6,-282,912,z_rotation_deg=90.0
171,67.8,-279,913,
166,74.7,-299,914,
86,72.6,-257,915,
74,69.9,-290,916,
118,82.3,-294,917,
145,80.2,-269,918,
227,80.2,-249,919,
234,82.3,-266,920,
189,87.1,-251,921,
186,87.9,-264,922,
112,92.6,-275,923,
149,94.7,-260,924,
207,90.0,-300,925,
228,92.6,-270,926,
236,102.4,-279,927,
162,100.3,-267,928,
93,102.4,-282,929,
65,105.0,-266,930,
175,107.1,-273,931,
199,108.0,-252,932,
240,105.0,-290,933,cap_fraction_eff=0.2500
250,112.7,-257,934,
227,114.8,-258,935,
198,119.5,-277,936,
133,112.7,-270,937,
131,114.8,-288,938,
60,122.5,-274,939,
97,125.1,-290,940,
160,127.2,-277,941,
177,120.4,-264,942,
221,125.1,-278,943,z_midpoint_zero=True
242,122.5,-292,944,
247,134.9,-271,945,
151,132.8,-264,946,
109,134.9,-266,947,
31,137.5,-268,948,
184,139.6,-275,949,
191,140.4,-298,950,
248,137.5,-298,951,cyl_radius_external=0.250
241,147.3,-250,952,
241,145.2,-265,953,
143,147.3,-290,954,
120,145.2,-287,955,
82,154.9,-271,956,
168,152.8,-292,957,
230,154.9,-284,958,
234,157.6,-286,959,P_caps=0.8
169,159.7,-284,960,
78,157.6,-290,961,
123,167.3,-269,962,
140,165.2,-282,963,
193,172.1,-293,964,
231,167.3,-263,965,
250,165.2,-252,966,
40,175.0,-283,967,
106,177.6,-280,968,
153,179.7,-288,969,
182,172.9,-256,970,
233,175.0,-297,971,
233,177.6,-273,972,azimuth_density_ratio=1.0
