r_xy_mm,phi_deg,z_mm,spiral,order_idx
258,130.3,421,forward,321
236,132.3,404,reverse,322
246,127.6,364,reverse,323
239,132.1,316,forward,324
262,130.5,300,reverse,325
243,129.2,251,forward,326
245,133.5,235,reverse,327
243,133.9,211,forward,328
243,128.7,195,reverse,329
244,131.0,146,forward,330
243,131.6,130,reverse,331
262,128.0,81,forward,332
262,134.6,65,reverse,333
259,132.8,41,forward,334
240,129.8,25,reverse,335
191,129.8,12,reverse,336
258,142.2,40,reverse,337
243,140.4,66,forward,338
251,139.3,105,reverse,339
244,135.7,106,forward,340
245,136.4,170,reverse,341
246,138.6,171,forward,342
262,141.1,210,reverse,343
240,141.6,236,forward,344
238,138.2,275,reverse,345
254,136.8,276,forward,346
263,135.3,340,reverse,347
241,139.7,341,forward,348
237,140.0,380,reverse,349
258,135.0,381,forward,350
244,137.1,445,reverse,351
256,137.9,446,forward,352
246,141.8,485,reverse,353
238,142.2,488,reverse,354
249,145.6,471,forward,355
264,149.5,460,reverse,356
259,144.7,420,reverse,357
261,142.7,406,forward,358
246,147.4,366,forward,359
237,147.7,355,reverse,360
262,142.9,315,reverse,361
245,144.5,301,forward,362
242,149.2,261,forward,363
261,145.9,250,reverse,364
244,146.3,196,forward,365
262,148.8,185,reverse,366
245,144.0,145,reverse,367
251,143.4,131,forward,368
243,148.1,91,forward,369
262,147.0,80,reverse,370
241,145.2,26,forward,371
256,149.9,15,reverse,372
248,152.8,51,forward,373
244,154.6,55,reverse,374
257,155.8,116,forward,375
242,151.7,120,reverse,376
237,151.0,156,forward,377
262,156.4,160,reverse,378
242,154.0,221,forward,379
264,153.5,225,reverse,380
251,156.9,285,forward,381
262,150.6,290,reverse,382
241,152.1,325,forward,383
242,155.3,330,reverse,384
249,155.1,390,forward,385
243,152.4,395,reverse,386
261,150.3,430,forward,387
256,157.1,435,reverse,388
250,154.2,493,reverse,389
247,153.3,495,forward,390
241,161.9,475,reverse,391
250,158.0,455,forward,392
241,162.7,415,forward,393
249,164.8,410,reverse,394
242,160.1,370,reverse,395
242,159.8,350,forward,396
255,164.5,310,forward,397
240,163.0,305,reverse,398
255,158.3,265,reverse,399
249,161.6,245,forward,400
251,161.2,200,reverse,401
240,158.7,180,forward,402
261,163.4,140,forward,403
250,164.1,136,reverse,404
264,159.4,96,reverse,405
257,160.5,75,forward,406
256,162.3,31,reverse,407
248,157.6,11,forward,408
127,157.6,6,forward,409
235,170.0,6,reverse,410
227,165.2,15,forward,411
239,165.2,35,forward,412
264,167.0,71,reverse,413
262,168.2,100,forward,414
238,171.8,111,reverse,415
262,171.1,165,forward,416
241,168.8,176,reverse,417
262,166.4,205,forward,418
255,165.9,241,reverse,419
236,169.3,270,forward,420
262,170.7,281,reverse,421
258,172.2,335,forward,422
254,167.7,346,reverse,423
252,167.5,375,forward,424
241,170.4,440,forward,425
255,169.5,450,reverse,426
241,165.7,480,forward,427
224,165.2,492,forward,428
170,177.6,495,forward,429
246,174.3,491,reverse,430
251,178.1,465,forward,431
260,177.2,426,reverse,432
263,175.1,400,forward,433
247,172.5,386,reverse,434
252,179.9,360,forward,435
257,175.4,321,reverse,436
241,176.9,295,forward,437
256,178.3,256,reverse,438
247,174.0,230,forward,439
257,173.6,216,reverse,440
261,178.8,190,forward,441
240,176.5,151,reverse,442
245,175.8,125,forward,443
240,179.4,86,reverse,444
252,172.9,60,forward,445
250,174.7,46,reverse,446
238,177.6,20,forward,447
172,177.6,13,forward,448
242,182.4,21,reverse,449
257,185.3,45,forward,450
241,187.1,61,reverse,451
247,180.6,85,forward,452
254,184.2,126,reverse,453
257,183.5,150,forward,454
237,181.2,191,reverse,455
263,186.4,215,forward,456
253,186.0,231,reverse,457
239,181.7,255,forward,458
244,183.1,296,reverse,459
261,184.6,320,forward,460
264,180.1,361,reverse,461
260,184.9,401,reverse,462
237,182.8,425,forward,463
246,181.9,466,reverse,464
252,185.7,489,forward,465
174,182.4,494,reverse,466
240,194.3,481,reverse,467
238,190.5,449,forward,468
254,189.6,441,reverse,469
245,187.5,384,forward,470
237,192.5,376,reverse,471
243,192.3,344,forward,472
251,187.8,336,reverse,473
242,189.3,279,forward,474
256,190.7,271,reverse,475
248,194.1,239,forward,476
254,193.6,206,reverse,477
260,191.1,175,forward,478
245,188.9,166,reverse,479
246,188.2,110,forward,480
260,191.8,101,reverse,481
253,193.0,70,forward,482
243,194.8,37,reverse,483
231,194.8,8,reverse,484
261,190.0,5,forward,485
261,202.4,12,reverse,486
208,197.7,12,forward,487
256,197.7,29,forward,488
263,199.5,77,reverse,489
236,200.6,94,forward,490
243,195.9,134,forward,491
245,196.6,142,reverse,492
262,201.3,182,reverse,493
249,198.8,199,forward,494
258,198.4,246,reverse,495
257,201.7,264,forward,496
246,197.0,304,forward,497
236,195.5,311,reverse,498
238,200.2,351,reverse,499
255,199.9,369,forward,500
255,195.2,409,forward,501
248,197.3,416,reverse,502
241,202.0,456,reverse,503
251,198.1,474,forward,504
258,206.7,496,reverse,505
241,202.9,434,forward,506
249,209.7,432,reverse,507
253,207.6,394,forward,508
251,204.9,392,reverse,509
245,204.7,329,forward,510
259,207.8,327,reverse,511
254,209.4,289,forward,512
239,203.1,287,reverse,513
262,206.5,224,forward,514
236,206.0,222,reverse,515
238,203.5,159,forward,516
250,209.0,157,reverse,517
257,208.3,119,forward,518
264,204.2,117,reverse,519
246,205.4,54,forward,520
255,207.2,52,reverse,521
255,210.1,14,forward,522
240,214.8,27,reverse,523
259,213.0,79,forward,524
259,211.9,92,reverse,525
244,216.6,132,reverse,526
256,215.9,144,forward,527
263,211.2,184,forward,528
241,213.7,197,reverse,529
257,214.1,249,forward,530
262,210.8,262,reverse,531
238,215.5,302,reverse,532
238,217.1,314,forward,533
263,212.3,354,forward,534
250,212.6,367,reverse,535
255,217.3,407,reverse,536
263,215.3,419,forward,537
261,210.5,459,forward,538
248,214.4,472,reverse,539
143,210.1,490,forward,540
64,222.5,487,reverse,541
260,218.2,483,forward,542
258,222.1,447,reverse,543
239,222.9,443,forward,544
251,220.0,379,forward,545
250,220.2,342,reverse,546
242,224.7,338,forward,547
251,223.2,277,reverse,548
247,221.8,274,forward,549
260,218.4,237,reverse,550
246,218.9,209,forward,551
254,221.4,172,reverse,552
238,223.6,169,forward,553
253,224.3,107,reverse,554
253,220.7,104,forward,555
265,219.6,67,reverse,556
235,217.8,39,forward,557
238,217.8,14,forward,558
248,227.2,13,reverse,559
258,230.2,24,forward,560
240,227.2,42,reverse,561
248,225.4,64,forward,562
245,232.0,83,reverse,563
256,228.3,129,forward,564
240,229.0,147,reverse,565
264,231.3,193,forward,566
250,226.1,212,reverse,567
252,226.5,233,forward,568
254,230.8,252,reverse,569
237,229.5,298,forward,570
261,227.9,317,reverse,571
247,232.4,363,forward,572
262,225.0,382,reverse,573
256,227.7,403,forward,574
261,229.7,422,reverse,575
242,230.6,468,forward,576
184,230.2,487,forward,577
237,226.8,487,reverse,578
245,227.2,487,reverse,579
160,234.9,495,reverse,580
264,238.2,493,forward,581
263,234.5,462,reverse,582
264,235.3,428,forward,583
245,237.4,397,reverse,584
249,232.6,357,reverse,585
237,237.1,323,forward,586
251,235.6,292,reverse,587
253,234.2,258,forward,588
237,238.5,228,reverse,589
252,238.9,218,forward,590
265,233.8,188,reverse,591
256,236.0,153,forward,592
236,236.7,123,reverse,593
241,233.1,88,forward,594
247,239.6,58,reverse,595
243,237.8,48,forward,596
243,234.9,18,reverse,597
252,242.6,8,forward,598
264,247.3,33,reverse,599
242,245.5,73,forward,600
237,244.4,98,reverse,601
251,240.7,113,forward,602
254,241.4,163,reverse,603
242,243.7,178,forward,604
244,246.2,203,reverse,605
254,246.6,243,forward,606
252,243.2,268,reverse,607
243,241.9,283,forward,608
262,240.3,333,reverse,609
238,244.8,348,forward,610
253,245.0,373,reverse,611
244,240.1,388,forward,612
235,242.1,438,reverse,613
236,243.0,453,forward,614
235,246.9,478,reverse,615
217,247.3,494,reverse,616
257,250.6,478,forward,617
242,254.5,453,reverse,618
238,249.8,413,reverse,619
263,247.7,413,forward,620
263,252.5,373,forward,621
262,252.7,348,reverse,622
242,248.0,308,reverse,623
261,249.5,308,forward,624
257,254.3,268,forward,625
239,250.9,243,reverse,626
248,251.3,203,forward,627
255,253.8,178,reverse,628
240,248.4,138,forward,629
246,249.1,138,reverse,630
244,253.1,98,forward,631
261,252.0,73,reverse,632
251,250.2,33,forward,633
219,250.2,8,forward,634
249,254.9,8,reverse,635
250,259.7,48,reverse,636
244,257.9,58,forward,637
262,256.8,113,reverse,638
257,260.8,123,forward,639
264,261.5,153,reverse,640
252,256.1,163,forward,641
248,258.6,218,reverse,642
236,259.0,228,forward,643
259,255.6,283,reverse,644
258,261.9,292,forward,645
243,260.4,323,reverse,646
260,257.2,333,forward,647
257,257.4,388,reverse,648
247,260.1,397,forward,649
262,262.2,428,reverse,650
256,255.4,438,forward,651
262,259.3,493,reverse,652
184,267.3,487,reverse,653
264,266.9,468,reverse,654
244,263.0,462,forward,655
236,267.8,422,forward,656
263,269.8,403,reverse,657
254,265.1,363,reverse,658
247,264.9,357,forward,659
259,269.6,317,forward,660
251,268.0,298,reverse,661
252,263.3,258,reverse,662
260,266.7,252,forward,663
238,266.2,193,reverse,664
245,263.7,188,forward,665
257,268.5,147,forward,666
254,269.2,129,reverse,667
251,264.4,88,reverse,668
247,265.5,83,forward,669
249,267.3,24,reverse,670
249,262.6,18,forward,671
162,262.6,13,forward,672
239,270.3,42,forward,673
253,272.1,64,reverse,674
253,276.8,104,reverse,675
251,273.2,107,forward,676
261,273.9,169,reverse,677
264,276.1,172,forward,678
239,271.4,212,forward,679
244,271.0,233,reverse,680
265,275.7,274,reverse,681
242,274.3,277,forward,682
236,272.8,338,reverse,683
248,277.3,342,forward,684
244,272.5,382,forward,685
248,274.6,443,reverse,686
263,275.4,447,forward,687
258,270.7,487,forward,688
245,270.3,488,forward,689
64,275.0,496,forward,690
235,279.7,496,reverse,691
245,279.3,483,reverse,692
247,283.1,472,forward,693
253,282.2,419,reverse,694
247,280.2,407,forward,695
241,277.5,379,reverse,696
245,284.9,367,forward,697
244,280.4,314,reverse,698
261,282.0,302,forward,699
242,283.4,249,reverse,700
236,279.1,237,forward,701
238,278.6,209,reverse,702
254,283.8,197,forward,703
263,281.6,144,reverse,704
240,280.9,132,forward,705
263,284.5,79,reverse,706
251,277.9,67,forward,707
244,279.7,39,reverse,708
237,282.7,27,forward,709
145,287.4,6,reverse,710
239,287.4,14,reverse,711
258,290.3,52,forward,712
245,292.1,54,reverse,713
259,285.6,92,forward,714
239,289.2,119,reverse,715
251,288.5,157,forward,716
256,286.3,184,reverse,717
258,291.5,222,forward,718
262,291.0,224,reverse,719
255,286.7,262,forward,720
252,288.1,289,reverse,721
238,289.7,327,forward,722
258,285.2,354,reverse,723
249,289.9,394,reverse,724
265,287.8,432,forward,725
256,287.0,459,reverse,726
143,287.4,491,reverse,727
258,290.8,496,forward,728
258,299.4,474,reverse,729
243,295.5,456,forward,730
254,294.6,434,reverse,731
257,292.6,392,forward,732
240,297.6,369,reverse,733
250,297.3,351,forward,734
242,292.8,329,reverse,735
249,294.4,287,forward,736
247,295.8,264,reverse,737
246,299.1,246,forward,738
242,298.7,199,reverse,739
244,296.2,182,forward,740
237,294.0,159,reverse,741
254,293.3,117,forward,742
241,296.9,94,reverse,743
250,298.0,77,forward,744
238,299.8,29,reverse,745
238,295.1,12,forward,746
231,302.7,12,forward,747
264,302.7,37,forward,748
259,304.5,70,reverse,749
259,305.7,101,forward,750
257,301.6,134,reverse,751
244,300.9,142,forward,752
250,306.4,175,reverse,753
243,303.9,206,forward,754
261,303.4,239,reverse,755
264,306.8,271,forward,756
251,300.5,304,reverse,757
238,302.0,311,forward,758
259,305.2,344,reverse,759
262,305.0,376,forward,760
244,302.3,409,reverse,761
236,300.2,416,forward,762
260,307.0,449,reverse,763
258,303.2,481,forward,764
262,311.8,489,reverse,765
253,307.9,441,forward,766
248,314.7,425,reverse,767
255,312.6,401,forward,768
260,310.0,384,reverse,769
243,309.7,336,forward,770
258,312.9,320,reverse,771
263,314.4,296,forward,772
237,308.2,279,reverse,773
251,311.5,231,forward,774
258,311.1,215,reverse,775
243,308.6,166,forward,776
244,314.0,150,reverse,777
262,313.3,126,forward,778
260,309.3,110,reverse,779
253,310.4,61,forward,780
250,312.2,45,reverse,781
242,307.5,5,reverse,782
172,319.9,4,reverse,783
248,319.9,20,reverse,784
250,315.1,21,forward,785
239,316.9,85,reverse,786
262,318.1,86,forward,787
246,321.7,125,reverse,788
253,321.0,151,forward,789
265,318.7,190,reverse,790
245,316.3,191,forward,791
240,315.8,255,reverse,792
240,319.2,256,forward,793
259,320.6,295,reverse,794
238,322.1,321,forward,795
250,317.6,360,reverse,796
247,317.4,361,forward,797
240,322.4,400,reverse,798
261,320.3,426,forward,799
242,319.4,465,reverse,800
248,315.6,466,forward,801
170,319.9,489,reverse,802
174,315.1,496,forward,803
237,323.2,491,forward,804
253,328.0,450,forward,805
247,327.1,440,reverse,806
249,325.0,386,forward,807
244,329.8,346,forward,808
254,325.3,335,reverse,809
263,326.8,281,forward,810
249,328.2,270,reverse,811
246,323.5,230,reverse,812
247,323.9,216,forward,813
256,328.7,176,forward,814
241,326.4,165,reverse,815
261,325.7,111,forward,816
265,329.3,100,reverse,817
258,324.6,60,reverse,818
245,322.8,46,forward,819
250,327.5,6,forward,820
265,335.2,31,forward,821
244,332.3,35,reverse,822
248,330.5,71,forward,823
256,337.0,75,reverse,824
248,333.4,136,forward,825
260,334.1,140,reverse,826
241,336.3,200,forward,827
243,331.1,205,reverse,828
246,331.6,241,forward,829
260,335.9,245,reverse,830
255,334.5,305,forward,831
257,333.0,310,reverse,832
251,337.4,370,forward,833
263,330.0,375,reverse,834
246,332.7,410,forward,835
263,334.8,415,reverse,836
253,335.6,475,forward,837
258,331.8,480,reverse,838
224,332.3,485,reverse,839
242,344.2,495,reverse,840
125,339.9,488,reverse,841
256,339.5,455,reverse,842
258,340.4,435,forward,843
236,342.4,390,reverse,844
242,337.7,350,reverse,845
256,342.2,330,forward,846
264,340.6,285,reverse,847
243,339.2,265,forward,848
251,344.0,225,forward,849
262,343.5,221,reverse,850
259,338.8,180,reverse,851
260,341.1,160,forward,852
248,341.7,116,reverse,853
244,338.1,96,forward,854
237,342.9,55,forward,855
257,344.7,51,reverse,856
260,339.9,11,reverse,857
195,352.3,6,reverse,858
242,347.6,15,forward,859
257,352.3,26,reverse,860
263,350.5,80,forward,861
247,349.4,91,reverse,862
236,345.8,120,forward,863
261,346.5,156,reverse,864
251,348.7,185,forward,865
245,351.2,196,reverse,866
265,351.6,250,forward,867
236,348.3,261,reverse,868
255,346.9,290,forward,869
261,345.4,325,reverse,870
242,349.8,355,forward,871
239,350.1,366,reverse,872
263,345.1,395,forward,873
236,347.2,430,reverse,874
246,348.0,460,forward,875
253,351.9,471,reverse,876
149,347.6,486,forward,877
250,355.7,485,forward,878
248,359.6,446,reverse,879
251,352.8,420,forward,880
262,354.8,406,reverse,881
264,357.5,380,forward,882
236,357.8,341,reverse,883
254,354.6,315,forward,884
242,353.0,301,reverse,885
242,359.3,275,forward,886
249,355.9,236,reverse,887
264,356.4,210,forward,888
235,358.9,171,reverse,889
261,353.5,145,forward,890
241,354.1,131,reverse,891
256,358.2,105,forward,892
258,357.1,66,reverse,893
249,355.3,40,forward,894
29,0.0,498,forward,895
50,0.0,500,reverse,896
242,4.7,500,reverse,897
245,4.7,0,reverse,898
